project_id,object_id,product_id,in_time,out_time
3,0,1,10,26
3,1,1001,10,26
3,2,2001,10,26
3,3,3001,10,26
3,4,4001,10,26
3,5,5001,10,26
3,6,6001,10,26
3,0,2,15,27
3,1,1002,15,27
3,2,2002,15,27
3,3,3002,15,27
3,4,4002,15,27
3,5,5002,15,27
3,6,6002,15,27
3,7,1,26,28
3,11,3001,26,28
3,0,3,20,29
3,3,3003,20,29
3,7,2,27,29
3,11,3002,27,29
3,0,4,31,32
3,3,3004,31,32
3,8,1,28,46
3,9,1001,26,46
3,10,2001,26,46
3,12,3001,28,46
3,13,4001,26,46
3,22,5001,26,46
3,23,6001,26,46
3,1,1003,20,47
3,2,2003,20,47
3,4,4003,20,47
3,5,5003,20,47
3,6,6003,20,47
3,7,3,29,48
3,8,2,29,48
3,9,1002,27,48
3,10,2002,27,48
3,11,3003,29,48
3,12,3002,29,48
3,13,4002,27,48
3,22,5002,27,48
3,23,6002,27,48
3,0,5,36,49
3,1,1004,31,49
3,2,2004,31,49
3,3,3005,36,49
3,4,4004,31,49
3,5,5004,31,49
3,6,6004,31,49
3,9,1003,47,49
3,10,2003,47,49
3,13,4003,47,49
3,22,5003,47,49
3,23,6003,47,49
3,1,1005,36,50
3,2,2005,36,50
3,4,4005,36,50
3,5,5005,36,50
3,6,6005,36,50
3,7,4,32,50
3,8,3,48,50
3,11,3004,32,50
3,12,3003,48,50
3,0,6,46,51
3,3,3006,46,51
3,7,5,49,51
3,9,1004,49,51
3,10,2004,49,51
3,11,3005,49,51
3,13,4004,49,51
3,22,5004,49,51
3,23,6004,49,51
3,26,1,46,51
3,27,4001,46,51
3,30,5001,46,51
3,0,7,51,52
3,3,3007,51,52
3,8,4,50,52
3,9,1005,50,52
3,10,2005,50,52
3,12,3004,50,52
3,13,4005,50,52
3,22,5005,50,52
3,23,6005,50,52
3,1,1006,52,53
3,7,6,51,53
3,8,5,51,53
3,11,3006,51,53
3,12,3005,51,53
3,14,1,51,53
3,18,4001,51,53
3,21,5001,51,53
3,2,2006,52,54
3,4,4006,52,54
3,5,5006,52,54
3,6,6006,52,54
3,7,7,52,54
3,11,3007,52,54
3,15,1,53,55
3,19,4001,53,55
3,26,2,48,56
3,27,4002,48,56
3,30,5002,48,56
3,0,8,56,57
3,3,3008,56,57
3,16,1,55,57
3,8,6,53,58
3,9,1006,53,58
3,10,2006,54,58
3,12,3006,53,58
3,13,4006,54,58
3,17,2,56,58
3,18,4002,56,58
3,21,5002,56,58
3,22,5006,54,58
3,23,6006,54,58
3,7,8,57,59
3,11,3008,57,59
3,19,4002,58,60
3,26,3,50,61
3,27,4003,49,61
3,30,5003,49,61
3,0,9,61,62
3,3,3009,61,62
3,12,3007,54,62
3,1,1007,62,63
3,2,2007,62,63
3,4,4007,62,63
3,5,5007,62,63
3,6,6007,62,63
3,8,7,54,63
3,17,3,61,63
3,18,4003,61,63
3,21,5003,61,63
3,28,2,58,63
3,7,9,62,64
3,11,3009,62,64
3,9,1007,63,65
3,10,2007,63,65
3,13,4007,63,65
3,19,4003,63,65
3,20,2,63,65
3,22,5007,63,65
3,23,6007,63,65
3,26,4,52,66
3,27,4004,51,66
3,30,5004,51,66
3,0,10,66,67
3,3,3010,66,67
3,1,1008,67,68
3,2,2008,67,68
3,4,4008,67,68
3,5,5008,67,68
3,6,6008,67,68
3,8,8,59,68
3,12,3008,59,68
3,14,4,66,68
3,18,4004,66,68
3,21,5004,66,68
3,28,3,63,68
3,7,10,67,69
3,11,3010,67,69
3,9,1008,68,70
3,10,2008,68,70
3,13,4008,68,70
3,15,4,68,70
3,19,4004,68,70
3,20,3,68,70
3,22,5008,68,70
3,23,6008,68,70
3,29,1,57,70
3,26,5,53,71
3,27,4005,52,71
3,30,5005,52,71
3,16,4,70,72
3,24,1,70,72
3,1,1009,72,73
3,2,2009,72,73
3,4,4009,72,73
3,5,5009,72,73
3,6,6009,72,73
3,8,9,64,73
3,12,3009,64,73
3,14,5,71,73
3,18,4005,71,73
3,21,5005,71,73
3,9,1009,73,75
3,10,2009,73,75
3,13,4009,73,75
3,15,5,73,75
3,19,4005,73,75
3,22,5009,73,75
3,23,6009,73,75
3,26,6,58,76
3,27,4006,58,76
3,30,5006,58,76
3,0,11,76,77
3,3,3011,76,77
3,16,5,75,77
3,29,4,72,77
3,31,1,72,77
3,1,1010,77,78
3,2,2010,77,78
3,4,4010,77,78
3,5,5010,77,78
3,6,6010,77,78
3,8,10,69,78
3,12,3010,69,78
3,17,6,76,78
3,18,4006,76,78
3,21,5006,76,78
3,7,11,77,79
3,11,3011,77,79
3,25,4,77,79
3,9,1010,78,80
3,10,2010,78,80
3,13,4010,78,80
3,19,4006,78,80
3,22,5010,78,80
3,23,6010,78,80
3,26,7,63,81
3,27,4007,65,81
3,30,5007,65,81
3,0,12,81,82
3,3,3012,81,82
3,8,11,79,83
3,12,3011,79,83
3,17,7,81,83
3,18,4007,81,83
3,28,6,78,83
3,1,1011,82,84
3,2,2011,82,84
3,4,4011,82,84
3,7,12,82,84
3,11,3012,82,84
3,32,4,79,84
3,20,6,83,85
3,5,5011,82,86
3,6,6011,82,86
3,9,1011,84,86
3,10,2011,84,86
3,13,4011,84,86
3,26,8,68,86
3,27,4008,70,86
3,30,5008,70,86
3,0,13,86,87
3,3,3013,86,87
3,19,4007,83,87
3,8,12,84,88
3,12,3012,84,88
3,14,8,86,88
3,18,4008,86,88
3,22,5011,86,88
3,23,6011,86,88
3,28,7,83,88
3,7,13,87,89
3,11,3013,87,89
3,15,8,88,90
3,19,4008,88,90
3,20,7,88,90
3,29,5,77,90
3,26,9,73,91
3,27,4009,75,91
3,0,14,91,92
3,3,3014,91,92
3,16,8,90,92
3,21,5007,81,92
3,25,5,90,92
3,1,1012,92,93
3,2,2012,92,93
3,4,4012,92,93
3,5,5012,92,93
3,6,6012,92,93
3,8,13,89,93
3,12,3013,89,93
3,14,9,91,93
3,18,4009,91,93
3,7,14,92,94
3,11,3014,92,94
3,9,1012,93,95
3,10,2012,93,95
3,13,4012,93,95
3,15,9,93,95
3,22,5012,93,95
3,23,6012,93,95
3,26,10,78,96
3,27,4010,80,96
3,0,15,96,97
3,3,3015,96,97
3,16,9,95,97
3,30,5009,75,97
3,1,1013,97,98
3,2,2013,97,98
3,4,4013,97,98
3,5,5013,97,98
3,6,6013,97,98
3,8,14,94,98
3,12,3014,94,98
3,17,10,96,98
3,18,4010,96,98
3,7,15,97,99
3,11,3015,97,99
3,9,1013,98,100
3,10,2013,98,100
3,13,4013,98,100
3,22,5013,98,100
3,23,6013,98,100
3,29,8,92,100
3,32,5,92,100
3,26,11,83,101
3,27,4011,86,101
3,21,5008,86,102
3,24,8,100,102
3,1,1014,102,103
3,2,2014,102,103
3,4,4014,102,103
3,5,5014,102,103
3,6,6014,102,103
3,8,15,99,103
3,12,3015,99,103
3,17,11,101,103
3,28,10,98,103
3,9,1014,103,105
3,10,2014,103,105
3,13,4014,103,105
3,19,4009,93,105
3,20,10,103,105
3,26,12,88,106
3,0,16,106,107
3,3,3016,106,107
3,18,4011,101,107
3,30,5010,80,107
3,31,8,102,107
3,1,1015,107,108
3,2,2015,107,108
3,4,4015,107,108
3,5,5015,107,108
3,6,6015,107,108
3,14,12,106,108
3,28,11,103,108
3,7,16,107,109
3,11,3016,107,109
3,22,5014,103,109
3,23,6014,103,109
3,9,1015,108,110
3,10,2015,108,110
3,13,4015,108,110
3,15,12,108,110
3,19,4010,98,110
3,20,11,108,110
3,29,9,97,110
3,8,16,109,111
3,12,3016,109,111
3,26,13,93,111
3,27,4012,95,111
3,0,17,111,112
3,3,3017,111,112
3,16,12,110,112
3,21,5009,97,112
3,24,9,110,112
3,1,1016,112,113
3,2,2016,112,113
3,4,4016,112,113
3,5,5016,112,113
3,6,6016,112,113
3,14,13,111,113
3,18,4012,111,113
3,7,17,112,114
3,11,3017,112,114
3,9,1016,113,115
3,10,2016,113,115
3,13,4016,113,115
3,15,13,113,115
3,8,17,114,116
3,12,3017,114,116
3,26,14,98,116
3,27,4013,100,116
3,0,18,116,117
3,3,3018,116,117
3,16,13,115,117
3,29,12,112,117
3,30,5011,88,117
3,31,9,112,117
3,17,14,116,118
3,7,18,117,119
3,11,3018,117,119
3,21,5010,107,119
3,22,5015,108,119
3,23,6015,108,119
3,25,12,117,119
3,8,18,119,121
3,12,3018,119,121
3,26,15,103,121
3,27,4014,105,121
3,0,19,121,122
3,3,3019,121,122
3,1,1017,122,123
3,2,2017,122,123
3,4,4017,122,123
3,5,5017,122,123
3,6,6017,122,123
3,17,15,121,123
3,28,14,118,123
3,7,19,122,124
3,11,3019,122,124
3,30,5012,95,124
3,9,1017,123,125
3,10,2017,123,125
3,13,4017,123,125
3,20,14,123,125
3,8,19,124,126
3,12,3019,124,126
3,22,5016,113,126
3,23,6016,113,126
